character_name,freebase_map_id
Reggie Hammond,"['/m/0jskgj', '/m/0jtmhp']"
Cornelius Hackl,"['/m/02vdbv5', '/m/040jtmn']"
Turanga Leela,"['/m/03l1gw9', '/m/02vbzkk', '/m/03l1gww', '/m/04mjqy7']"
Dwight Stifler,"['/m/0jtf68', '/m/02vczfq']"
The Father,"['/m/03jt5kj', '/m/0jb9n97']"
Alan Garner,"['/m/0gdk8lh', '/m/05srhfs']"
Ben Parker,"['/m/0g5tv13', '/m/02vd9gl']"
Dana Scully,"['/m/04f8_rv', '/m/0k6zn6']"
Elizabeth Frankenstein,"['/m/0jvstp', '/m/02vcfm9']"
Anne Shirley,"['/m/0d778r_', '/m/0jtm60']"
Sethurama Iyer,"['/m/066738k', '/m/03jpgcp']"
Dorothy Gale,"['/m/0k2hq0', '/m/0g9lp9c', '/m/09z66lh', '/m/0k6y72']"
Audrey Bennett,"['/m/07r2fpv', '/m/052c8b4']"
Gabbar Singh,"['/m/0dj2k3z', '/m/0gv_r38']"
Dr. Anand,"['/m/03l0xj2', '/m/02vbnn0', '/m/02vbvwf']"
Harold Hill,"['/m/0k5zfy', '/m/04hv61w']"
Nora Charles,"['/m/02vc7jq', '/m/02vblpp']"
Richie Rich,"['/m/0h2yc35', '/m/02tb048']"
Doctor Doom,"['/m/0jy24c', '/m/0k51k2']"
John Cutter,"['/m/0k1s6v', '/m/0k65kl']"
Kamal Khan,"['/m/03jsjdg', '/m/04r9c2w']"
Jacob Black,"['/m/0b68zn5', '/m/05tflhw', '/m/075wxc2']"
Police Inspector,"['/m/0h7187r', '/m/04sc7zx']"
Ajay Kapoor,"['/m/0cg00xq', '/m/02vd25j']"
Freddy Lounds,"['/m/03js1wd', '/m/0k2dcy']"
Sher Khan,"['/m/0dj2jzx', '/m/0dj2ldj']"
Sam Spade,"['/m/04dmkpj', '/m/04dmkpb']"
Robert Langdon,"['/m/0jtkml', '/m/0k4v8c']"
Paul Vitti,"['/m/0jthkz', '/m/0jthm6']"
El Mariachi,"['/m/0k1j0x', '/m/0jx5_x']"
Mr. Chow,"['/m/0djw3s5', '/m/05srhkd']"
Michael Sobel,"['/m/0gdnnsr', '/m/0gdnyws']"
Anastasia Tremaine,"['/m/0hp7r39', '/m/03jrh_p', '/m/02tb5zv']"
Harry Callahan,"['/m/0k4wj4', '/m/0k4_r8', '/m/0k0bgf', '/m/0k3x23']"
Jill McBain,"['/m/0gb_whk', '/m/0k1j4c']"
Tony Wilson,"['/m/0jsk5k', '/m/0cgbqr5']"
Pooja Malhotra,"['/m/040jw9x', '/m/0dbxq5k']"
Mike Hammer,"['/m/04j11p0', '/m/0k104s', '/m/0j_jh4', '/m/04l4rk7', '/m/04l4m_b']"
Naruto Uzumaki,"['/m/05t6gq0', '/m/05np9zg']"
Jon Arbuckle,"['/m/0jyn_4', '/m/0jynyv']"
Joseph Fernandez,"['/m/0k00qds', '/m/02vbmwr']"
Dracula's Bride,"['/m/05mdr8g', '/m/05n5vpt']"
Gordon Bombay,"['/m/03ld2v8', '/m/03l9ncd', '/m/03lmq2q']"
Elektra Natchios,"['/m/0jwz5d', '/m/0hdvq4l']"
Frank Towns,"['/m/0jy9k8', '/m/052fkcc']"
Billy Nolan,"['/m/07rzlcw', '/m/0jw3l2']"
Obi-Wan Kenobi,"['/m/0k3qy3', '/m/0k3r2g', '/m/0k3r05', '/m/0k3qzt', '/m/04m6bsr']"
Emily Rose,"['/m/0k6sh0', '/m/0k508t']"
Frankenstein's monster,"['/m/052b_kh', '/m/02vdb22', '/m/0jyfb3', '/m/0k55k6', '/m/0js_24', '/m/0jyf2z', '/m/0jvstc', '/m/0k3jrd']"
Oliver Twist,"['/m/02tbcyj', '/m/0k1gww', '/m/04hv1vt', '/m/0glhjbx', '/m/0k1gvq', '/m/02tb4dl', '/m/03lfhp1']"
Roy Earle,"['/m/0jzd_l', '/m/02vb9q4']"
Raj Singh,"['/m/0h887zn', '/m/0c05wjz', '/m/0j_by7']"
Sethu Madhavan,"['/m/0cmxf3l', '/m/0j_j9g']"
Mary McKay,"['/m/03kzxx4', '/m/0bwrrwp']"
Jason Voorhees,"['/m/0j_3q0', '/m/0jyg1h', '/m/0290qyj', '/m/08cvzs2']"
Sabrina Spellman,"['/m/03jrrpr', '/m/02vcxt6', '/m/03jsvbb']"
Chon Wang,"['/m/0k34yq', '/m/02tbdtg']"
Austin Powers,"['/m/0jtv5t', '/m/0jtv84', '/m/0jtvbb']"
Jill Valentine,"['/m/0k2glq', '/m/0gvzqlt']"
David Sumner,"['/m/0gvwy91', '/m/0k3v65']"
Armand Duval,"['/m/0jw14x', '/m/02vblld']"
Rocky Balboa,"['/m/0k2n4f', '/m/0k2n36', '/m/01xxqty', '/m/0k2m_y', '/m/02tb42c']"
Amy Peterson,"['/m/0dgl4jz', '/m/02vbx8f']"
Charley Brewster,"['/m/02vc1xx', '/m/0dglblh']"
Mrs. Danvers,"['/m/0k2cy0', '/m/02vbg94']"
Ronnie Winslow,"['/m/09rnx26', '/m/0bqs4zr']"
Douglas Quaid,"['/m/0k78dt', '/m/0gw40y1']"
Edward Cullen,"['/m/075wx7x', '/m/04m6lb4', '/m/05tflhq', '/m/075wx86']"
Count Dracula,"['/m/0k3jq7', '/m/0jxjvp', '/m/0jxjq6', '/m/05v78rd', '/m/0k6cq0', '/m/0jxjtg', '/m/02vc323', '/m/02vc6xy', '/m/05n52b6', '/m/02tbf19', '/m/0jwq7s', '/m/0jxjnq', '/m/0h4y7ck', '/m/0jxjrv', '/m/0k1cp2', '/m/02vd4nc', '/m/0jzlc7']"
John Preston,"['/m/0jxwq8', '/m/02vd03b']"
Louis Tully,"['/m/0jyr_y', '/m/02tbfxb']"
Lucius Fox,"['/m/045yrqg', '/m/0bpm7s8']"
M. Bison,"['/m/0k3vfm', '/m/0460cp6']"
Nancy Drew,"['/m/02vc47b', '/m/04ytjds']"
Wilmer Cook,"['/m/05nyh_9', '/m/05nyn2q']"
Dexter Riley,"['/m/02vcc0n', '/m/02vd0y6', '/m/02vd76h']"
George Taylor,"['/m/0k1ypl', '/m/0jv7ws']"
Juni Cortez,"['/m/02s9tvb', '/m/02s9ttl', '/m/02s9trw', '/m/0g51m5_']"
Rodrick Heffley,"['/m/0g4tkw4', '/m/0hcbktv']"
Katherine Thorn,"['/m/0k610j', '/m/02vcw5c']"
Dr. Jennings,"['/m/04zd_2y', '/m/0bq3sl4']"
George Lutz,"['/m/0k49zk', '/m/0k49xw']"
Blanche Hudson,"['/m/0k7ztw', '/m/0cs4g8g']"
Lawrence Gordon,"['/m/0cf_bww', '/m/07p69b3']"
Grandpa Joe,"['/m/0k8393', '/m/02vbr83']"
Joe Pendleton,"['/m/0jz8zl', '/m/0jzcjj']"
John Kane,"['/m/0259v60', '/m/052j148']"
Salim Mirza,"['/m/03jr7gw', '/m/040k6bd']"
Martin Riggs,"['/m/0j_zj3', '/m/0j_zgw', '/m/0j_zfr', '/m/0j_zk_']"
Lilo Pelekai,"['/m/0j_xhv', '/m/0k3t36', '/m/0k00dg', '/m/0k00bd']"
White Rabbit,"['/m/0jt7jj', '/m/02vb5n9']"
George McFly,"['/m/0jty5w', '/m/0crrc7t']"
Ralph Wolf,"['/m/052d6k0', '/m/0hynqdn', '/m/052d6kj']"
Joan Wilder,"['/m/02vd3wx', '/m/0k2nxl']"
Angela Baker,"['/m/03js2bt', '/m/0k3d0z', '/m/0k3c_p']"
Horatio Hornblower,"['/m/04d6b15', '/m/0jw295', '/m/0h34xtd']"
Rahul Kapoor,"['/m/040kq9h', '/m/03jpqq4']"
Mrs. Singh,"['/m/0h736vz', '/m/09n83_h', '/m/0h8ms5t']"
Jesse James,"['/m/0jtf0j', '/m/0j_4xc', '/m/05t9r51', '/m/0k4c1k']"
Vijay Kumar,"['/m/0dgb1c3', '/m/03ll815']"
Alice Johnson,"['/m/0jsvp0', '/m/0jsvjv']"
Henry Roth,"['/m/0jsll5', '/m/03jptjn']"
Felix Leiter,"['/m/04y_fmd', '/m/07vr1bp', '/m/04yw0ft', '/m/04z072p', '/m/04y_n8v', '/m/03hqwdy']"
Carol Brady,"['/m/02vccf6', '/m/02vc_r7']"
Wayne Szalinski,"['/m/0jzjdk', '/m/0jzj8h', '/m/0j7r877']"
Will Turner,"['/m/0k1x_7', '/m/0k1xvn', '/m/0k1xxs']"
Brad Majors,"['/m/0k372r', '/m/0k69_c']"
Captain America,"['/m/02vc0w_', '/m/063kzx3', '/m/05z09zw', '/m/0k7hk2']"
The Predator,"['/m/03lpp78', '/m/0h34xg2']"
Sara Moore,"['/m/0k31y4', '/m/0k0p80']"
Josh Nichols,"['/m/04q48y1', '/m/0jxkpm']"
Mr. Brownlow,"['/m/0cd_1xj', '/m/05cdz58', '/m/0k1gxn']"
The Colonel,"['/m/02tbg10', '/m/0bscj08', '/m/04z1v9n']"
Bobby Ewing,"['/m/0h5jn1w', '/m/0h5jn0k']"
Savitri Devi,"['/m/02vbtr7', '/m/040kz59']"
The Grinch,"['/m/0jzmfc', '/m/04ypjd7']"
Son Goku,"['/m/0hh6mcy', '/m/0jx28n', '/m/040ly_g']"
Abigail Chase,"['/m/02vcd9h', '/m/0k14v6']"
The Monster,"['/m/04htszs', '/m/0k89l0', '/m/0jyf1r']"
Kasper Gutman,"['/m/03lk0l8', '/m/05nyfhg']"
Bridget Jones,"['/m/0c1r226', '/m/0jvt4d']"
Philo Beddoe,"['/m/0jxyl4', '/m/03l9hym']"
Jonathan Harker,"['/m/02vbxk4', '/m/03js4jz', '/m/05n52v0', '/m/0h1kd_0', '/m/05n5vp6', '/m/0jwq8k', '/m/0jvrh8', '/m/0jxjs4']"
François Pignon,"['/m/03jqj3s', '/m/0j_tsl']"
Jonah Hex,"['/m/0gv_zjc', '/m/05tg21f']"
Mark Hunter,"['/m/0k25p4', '/m/0cs1m0x']"
Christine Daaé,"['/m/0k63gl', '/m/0k63hp', '/m/05nqr1x']"
Charlie McGee,"['/m/02vcl4x', '/m/0460dxt']"
King Leonidas,"['/m/02vbth5', '/m/0jsg_l']"
Jesse Stone,"['/m/0cs70w2', '/m/09j3tkx', '/m/0gvwwc8', '/m/0cr_z6g']"
King Arthur,"['/m/0jw0_y', '/m/0jy7qw', '/m/0gx8_6b', '/m/0k0t2r', '/m/045xxd8']"
Albert Wesker,"['/m/0h_h2h4', '/m/08nbk4b']"
Bella Swan,"['/m/075xjx2', '/m/075wxc7', '/m/04m6l9_']"
Carlos Olivera,"['/m/0k2gp4', '/m/0k2glw']"
The Woman,"['/m/0h25z1c', '/m/0k0m6t']"
Nils Bjurman,"['/m/0c1w01r', '/m/0b3vyf5']"
Doc Holliday,"['/m/02vbm3g', '/m/062wppj']"
John Reed,"['/m/0gfmw95', '/m/04lqzzg']"
Peter Mitchell,"['/m/02vd8ts', '/m/0k72_r']"
Rizwan Khan,"['/m/04dfm3w', '/m/09ryztp']"
Walter Burns,"['/m/02vcrj5', '/m/0jzg14']"
Troy Bolton,"['/m/0jzdys', '/m/02vcjkf', '/m/03lyytj']"
Michael Jennings,"['/m/0k1hd7', '/m/0k1t08']"
Laura Reynolds,"['/m/02vcg2s', '/m/02vcb4j']"
Paul Finch,"['/m/03jqt1w', '/m/03jq2tk', '/m/03jqz14']"
Michael Woods,"['/m/0jzk4x', '/m/0j_8hl']"
Captain Nemo,"['/m/0dkcf_k', '/m/0dkcfz_', '/m/0k5nrw', '/m/0dkcf_r']"
Mark Darcy,"['/m/0c1r22b', '/m/0jvt4k']"
John Smith,"['/m/0dglfvj', '/m/04lrh46', '/m/0k1zbj', '/m/0k0wdw', '/m/02vddfg']"
The Shadow,"['/m/0hhj5tr', '/m/0k6fjx']"
Prince Carlos,"['/m/0chc9nh', '/m/0cb3xvz']"
Don Giovanni,"['/m/0cfztq8', '/m/02h7x3p']"
Uncle Joe,"['/m/02vbjx9', '/m/02vcy4g']"
Estella Havisham,"['/m/0jy_hr', '/m/02vb4kb']"
Woody Woodpecker,"['/m/09j1yx2', '/m/0n5f97y', '/m/09j1yfz', '/m/09j1x5c', '/m/09j1x44', '/m/09j1xd3', '/m/09j1yxn', '/m/09j1y9j', '/m/09j1yp6', '/m/0n4jzq6', '/m/09j1yhk', '/m/09j1x3_', '/m/09j1xxw', '/m/0n55thh', '/m/0n5f97y']"
Juan Gallardo,"['/m/02tb4b4', '/m/0jvj7l']"
Kiran Saxena,"['/m/04j2930', '/m/06wksj4']"
Elle Woods,"['/m/0j_wnh', '/m/0j_wm4']"
Grand Duke,"['/m/02vbq62', '/m/03jskyr']"
Crystal Allen,"['/m/02vbq1l', '/m/040klgs']"
Commissioner Dreyfus,"['/m/0jsw_d', '/m/0k694m', '/m/0k2j17', '/m/0k797v', '/m/0jwwfz']"
Yosemite Sam,"['/m/0hynrhr', '/m/0hyn6wh', '/m/0hynsvw', '/m/0hynzfx', '/m/0hyn9f2', '/m/0hynjwc', '/m/0hyn2s4', '/m/0hyq5ss', '/m/0hyn8h5', '/m/0hyq2w6', '/m/0hyq2kz', '/m/0hynjl3', '/m/0hyn2nt', '/m/0hynrw2', '/m/0hynbs8', '/m/0hynl9x', '/m/0hyq0db']"
Mother Superior,"['/m/052bg_q', '/m/0k3blk', '/m/0b7941h']"
Linus Caldwell,"['/m/0k1fdk', '/m/02vc_19']"
Jerry Robinson,"['/m/03jtbdp', '/m/03vnwn8']"
Ichigo Kurosaki,"['/m/0n6461r', '/m/04619mx', '/m/045yzf8']"
Michael Corleone,"['/m/0k56hx', '/m/0k56l4']"
John Clark,"['/m/0k6lp_', '/m/0jwhnj', '/m/0k34q4']"
Eliza Thornberry,"['/m/040gx8v', '/m/04hv752']"
Wonder Woman,"['/m/0j2ps5l', '/m/03ls8n6']"
Princess Fiona,"['/m/03jpm9k', '/m/04_bz4k', '/m/0k381p', '/m/02vcz8g', '/m/0k37yg']"
Elmer Fudd,"['/m/0ggcb2r', '/m/0ggctmr', '/m/0gb5xzc', '/m/0ggd201', '/m/0ggd0sl', '/m/0ggd2mp', '/m/0h7srfm', '/m/0ggcl90', '/m/0hyq1k2', '/m/0gx8ld5', '/m/0ggf6mf', '/m/0ggcktw']"
Joe Miller,"['/m/0k1wdx', '/m/07zkn44']"
Huckleberry Finn,"['/m/06wk65q', '/m/02vb62g']"
Dean Richmond,"['/m/0k60j5', '/m/0k1dvq']"
Big Momma,"['/m/0g5djnx', '/m/0jvbtm']"
Alan Grant,"['/m/0j_8zj', '/m/0j_8y4']"
Connor MacLeod,"['/m/0jzfft', '/m/0jzf9c', '/m/0jzfjz', '/m/0jzfbq']"
John Rolfe,"['/m/0k5_ql', '/m/02vd6vs']"
Elizabeth Swann,"['/m/0k1xvz', '/m/0k1x_d', '/m/0k1xxy']"
